year,make,model,trim,transmission,state,odometer,color,interior,seller,selling_price
2000,Honda,Accord,LX,automatic,Texas,222255.0,white,gray,the hertz corporation,1700.0
2013,Hyundai,Elantra,GLS,automatic,Texas,29828.0,silver,gray,hyundai motor finance,13000.0
2009,Acura,MDX,Base,automatic,Texas,46994.0,silver,gray,david mcdavid acura,21400.0
2010,Cadillac,CTS,Performance,automatic,Texas,15618.0,silver,gray,jpmorgan chase bank n.a.,21000.0
2006,Toyota,4Runner,SR5,automatic,Texas,76122.0,silver,—,capital one auto finance,12100.0
2012,Nissan,Maxima,3.5 SV,automatic,Texas,40171.0,white,black,nissan-infiniti lt,20000.0
2012,Lincoln,MKZ,Base,automatic,Texas,8140.0,blue,black,security service fcu (sscu),14800.0
2009,Kia,Spectra,EX,automatic,Texas,42033.0,gold,beige,fiserv/crescent bank & trust,5200.0
2009,Ford,Expedition,XLT,automatic,Texas,93186.0,—,beige,ford motor credit company llc,8400.0
2013,Chevrolet,Sonic,LT,automatic,Texas,34071.0,black,black,onemain rem/international auto sales,6800.0
2014,Nissan,Versa,1.6 SV,automatic,Texas,44408.0,silver,—,santander consumer,1500.0
2014,Ford,E-Series Van,E-250,automatic,Texas,7631.0,white,gray,u-haul,21300.0
2014,Nissan,Sentra,FE+ S,automatic,Texas,11132.0,gray,—,jpmorgan chase bank n.a.,10200.0
2006,Ford,F-150,Lariat,UNKNOWN,Texas,103734.0,beige,tan,fiserv/sierra auto finance,9200.0
2008,Lexus,IS F,Base,automatic,Texas,70359.0,black,—,gunn chevrolet ltd,24200.0
2014,Toyota,Corolla,LE,automatic,Texas,9247.0,green,gray,pm standley motorcars,13300.0
2011,Ford,F-150,Platinum,automatic,Texas,58472.0,white,gray,a b c auto credit inc,29200.0
2008,Ford,F-150,FX4,automatic,Texas,66624.0,black,gray,tdaf remarketing,18400.0
2014,Chevrolet,Impala Limited,LTZ Fleet,automatic,Texas,16603.0,black,black,pete eischen chevrolet co.,13300.0
2013,Chevrolet,Captiva Sport,LS Fleet,automatic,Texas,28722.0,white,gray,enterprise vehicle exchange/dfw airport,14200.0
2012,Ford,Edge,Limited,automatic,Texas,45954.0,—,black,ford motor credit company llc,20800.0
2011,Hyundai,Genesis,4.6,automatic,Texas,62040.0,blue,beige,hyundai motor finance,15300.0
2014,Honda,CR-V,EX,automatic,Texas,5374.0,white,beige,cm investments,21300.0
2003,Ford,F-150,XLT,automatic,Texas,202109.0,brown,brown,kb cars & trucks llc,2600.0
2010,Ford,Transit Connect,Cargo Van XLT,automatic,Texas,106028.0,white,gray,ge fleet services for itself/servicer,6300.0
2004,Ford,F-150,Lariat,automatic,Texas,125126.0,white,beige,santander consumer,3500.0
2014,Ford,Taurus,SE,automatic,Texas,32824.0,—,tan,ford motor credit company llc,13200.0
2009,Ford,F-150,King Ranch,automatic,Texas,165758.0,white,brown,brunson auto sales,15800.0
2010,Toyota,Camry,SE,automatic,Texas,65942.0,black,gray,hopper motorplex inc,11400.0
2014,Ford,F-150,XLT,automatic,Texas,22765.0,—,gray,ars/enterprise,28000.0
2014,Dodge,Durango,SXT,UNKNOWN,Texas,20155.0,red,black,chrysler capital,23700.0
2008,Ford,Focus,S,manual,Texas,143282.0,—,gray,ford motor credit company llc,2000.0
2012,Toyota,Camry,SE,automatic,Texas,35134.0,black,black,santander consumer,12400.0
1999,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Texas,150090.0,white,gray,ge fleet services for itself/servicer,3000.0
2011,Nissan,Maxima,3.5 S,automatic,Texas,90238.0,blue,black,santander consumer,12800.0
2012,Ford,Focus,SEL,automatic,Texas,42037.0,red,gray,ars/avis budget group,10600.0
2000,Chevrolet,Suburban,1500,automatic,Texas,104631.0,gray,gray,credit acceptance corp/vrs/southfield,2100.0
2004,Ford,F-150,FX4,automatic,Texas,103297.0,red,black,tdaf remarketing,8400.0
2010,Ford,E-Series Wagon,E-150 XL,automatic,Texas,40313.0,—,gray,ars/enterprise,14400.0
2005,Chevrolet,Corvette,Base,automatic,Texas,33352.0,silver,black,capital one auto finance,23500.0
2006,Honda,Odyssey,EX,automatic,Texas,119091.0,white,tan,fairway ford henderson,6500.0
2007,Chevrolet,Silverado 1500 Classic,LS,automatic,Texas,116300.0,blue,gray,lawler motor sports inc,11000.0
2014,Nissan,Versa Note,1.6 SV,automatic,Texas,8622.0,—,black,nissan motor acceptance corporation,11600.0
2014,Kia,Optima,LX,automatic,Texas,8814.0,silver,beige,kia motors america  inc,16800.0
2012,Infiniti,G Sedan,G25,automatic,Texas,37340.0,black,black,nissan infiniti lt,17800.0
2002,Toyota,Sienna,LE,automatic,Texas,117875.0,gold,tan,autonation toyota north arlington,2750.0
2013,Chrysler,200,Limited,automatic,Texas,24078.0,white,black,texas auto brokers,14100.0
2014,Ram,2500,Laramie,automatic,Texas,27588.0,red,black,barco rent a truck,42800.0
2012,Chrysler,200,Touring,automatic,Texas,35240.0,white,black,santander consumer,10600.0
2012,Ram,1500,ST,automatic,Texas,41867.0,black,gray,primeritus remarketing/mag interests,18900.0
2012,Ford,Fusion,SEL,automatic,Texas,31828.0,burgundy,beige,ford motor credit company llc,13800.0
2008,Ford,Escape,XLT,automatic,Texas,67657.0,red,beige,wichita falls ford lin inc,7800.0
2005,Mazda,Tribute,s,automatic,Texas,157733.0,gray,black,champion ford,2700.0
2015,Mazda,CX-5,Touring,automatic,Texas,20870.0,red,black,enterprise vehicle exchange/dfw airport,19400.0
