year,make,model,trim,transmission,state,odometer,color,interior,seller,selling_price
2013,Ford,Escape,SEL,UNKNOWN,Pennsylvania,45037.0,green,black,avis corporation,16200.0
2013,Nissan,Altima,2.5,UNKNOWN,Pennsylvania,23145.0,gray,black,nissan-infiniti lt,12600.0
2014,Chevrolet,Cruze,LTZ,UNKNOWN,Pennsylvania,27978.0,white,beige,gm remarketing,14000.0
2012,Volkswagen,Passat,SE PZEV,UNKNOWN,Pennsylvania,36035.0,silver,black,vw credit,11000.0
2013,Hyundai,Santa Fe,Sport,UNKNOWN,Pennsylvania,16434.0,white,gray,hyundai motor finance,23100.0
2012,Honda,Odyssey,EX,automatic,Pennsylvania,38517.0,black,gray,r hollenshead auto sales inc,20800.0
2012,Mazda,Mazda6,i Touring,UNKNOWN,Pennsylvania,49247.0,silver,black,citiwide auto leasing,8500.0
2011,Nissan,Rogue,S,automatic,Pennsylvania,34768.0,silver,black,nissan-infiniti lt,13000.0
2011,Ford,Taurus,SEL,UNKNOWN,Pennsylvania,79525.0,white,black,ford motor credit company llc,11800.0
2012,Honda,Odyssey,EX-L,automatic,Pennsylvania,29448.0,black,gray,bay ridge honda suzuki kia,22200.0
2009,Chevrolet,Silverado 1500,LT,automatic,Pennsylvania,119208.0,black,black,edmond chevrolet gmc buick,13800.0
2009,Kia,Spectra,Spectra5 SX,automatic,Pennsylvania,40902.0,silver,black,washington area teachers federal credit union,7100.0
2011,Mercedes-Benz,E-Class,E350 4MATIC,automatic,Pennsylvania,61900.0,—,tan,r hollenshead auto sales inc,22900.0
2012,Lexus,RX 350,Base,UNKNOWN,Pennsylvania,17241.0,gray,black,sports car leasing,31750.0
2013,Honda,CR-V,EX-L,automatic,Pennsylvania,32238.0,black,black,ahfc/honda lease trust/hvt  inc.,22200.0
2012,Honda,Accord,LX,automatic,Pennsylvania,22072.0,brown,beige,ahfc/honda lease trust/hvt  inc. eot,11900.0
2012,Ford,Explorer,Limited,UNKNOWN,Pennsylvania,38848.0,gray,black,scerbo auto leasing inc,27600.0
2012,Honda,Civic,LX,automatic,Pennsylvania,46745.0,blue,gray,ahfc/honda lease trust/hvt  inc. eot,9700.0
2015,Nissan,Altima,2.5 S,UNKNOWN,Pennsylvania,5144.0,red,black,tdaf remarketing,14200.0
2012,Ford,Fusion,S,UNKNOWN,Pennsylvania,48258.0,silver,tan,td auto finance,10200.0
2009,Pontiac,G3,Base,automatic,Pennsylvania,65545.0,red,black,wheels of fortune auto  inc,4800.0
2012,Chevrolet,Malibu,LS,UNKNOWN,Pennsylvania,14212.0,gold,brown,924 auto corp,12500.0
2013,Nissan,Maxima,3.5 SV,UNKNOWN,Pennsylvania,49661.0,white,black,the hertz corporation,15800.0
2008,Dodge,Charger,Base,automatic,Pennsylvania,114315.0,gray,black,td auto finance,6200.0
2012,Honda,CR-V,EX-L,automatic,Pennsylvania,32225.0,gray,gray,honda north,22400.0
2012,Honda,Accord,EX-L,automatic,Pennsylvania,33136.0,white,beige,ahfc/honda lease trust/hvt  inc. eot,14100.0
