year,make,model,trim,transmission,state,odometer,color,interior,seller,selling_price
2011,Infiniti,G Sedan,G25,automatic,California,38975.0,black,black,nissan infiniti lt,17000.0
1994,Honda,Accord,LX,automatic,California,167182.0,white,beige,clear view systems,900.0
2012,Ford,Fusion,SEL,automatic,California,69165.0,gray,black,the hertz corporation,8400.0
2013,Chrysler,200,Touring,automatic,California,38682.0,gray,black,avis corporation,11000.0
2013,FIAT,500,Pop,automatic,California,44261.0,gray,gray,enterprise veh exchange/rental,8500.0
2013,Dodge,Grand Caravan,SXT,automatic,California,60991.0,blue,black,dtg operations inc,11200.0
2006,Ford,F-150,XL,automatic,California,137555.0,white,gray,wheels exchange llc,3000.0
2012,BMW,3 Series,328i,automatic,California,44121.0,white,black,financial services remarketing (lease),25000.0
2010,Dodge,Grand Caravan,SE,automatic,California,79104.0,gray,black,ge capital fleet services,8200.0
2012,Hyundai,Sonata,GLS,automatic,California,33100.0,blue,gray,hyundai motor finance,12500.0
2014,Nissan,Sentra,S,UNKNOWN,California,7681.0,black,black,nissan motor acceptance corporation,13750.0
2002,BMW,3 Series,325i,automatic,California,150272.0,silver,black,s & s auto wholesale,2700.0
2013,Infiniti,G Sedan,G37 Journey,automatic,California,17543.0,gray,beige,nissan infiniti lt,21500.0
2006,Volkswagen,New Beetle,2.5 PZEV,automatic,California,81826.0,yellow,gray,nvp remarketing,5500.0
2008,Toyota,RAV4,Limited,automatic,California,72437.0,white,gray,reliance motors llc,13800.0
2013,Nissan,Altima,2.5,automatic,California,51679.0,silver,black,dtg operations inc,11500.0
2009,Dodge,Challenger,SRT8,automatic,California,93093.0,black,black,high bid trading co inc,21750.0
2013,Mercedes-Benz,C-Class,C250 Sport,automatic,California,9279.0,black,—,mercedes-benz financial services,24000.0
2014,Ford,Fusion,SE,automatic,California,15387.0,black,black,enterprise vehicle exchange / tra / rental / tulsa,13200.0
2007,Mercedes-Benz,CLK-Class,CLK350,automatic,California,114104.0,silver,silver,san diego sports cars,7300.0
2012,Dodge,Grand Caravan,SXT,automatic,California,36386.0,white,black,wheels exchange llc,13800.0
2015,BMW,4 Series,428i SULEV,automatic,California,2811.0,white,black,financial services remarketing (lease),35500.0
2012,Land Rover,Range Rover Sport,Supercharged,automatic,California,45797.0,gray,black,jpmorgan chase bank n.a.,48500.0
2010,Mercedes-Benz,S-Class,S550,automatic,California,43992.0,black,beige,skyhigh remarketing inc,26750.0
2008,HUMMER,H3,Base,automatic,California,105359.0,white,black,onemain rem/casey's car inc,12000.0
2008,Hyundai,Elantra,GLS,automatic,California,98123.0,black,gray,tdaf remarketing,4100.0
2001,Ford,Taurus,SES,automatic,California,112544.0,black,black,camelback finance co,800.0
2008,Chevrolet,Impala,LS,automatic,California,130211.0,white,gray,carvant financial llc,3900.0
2011,BMW,5 Series Gran Turismo,535i xDrive,automatic,California,46995.0,black,black,financial services remarketing/rail cars,26500.0
2008,BMW,X5,4.8i,automatic,California,91918.0,gray,gray,allen cadillac gmc,15800.0
2013,Chevrolet,Equinox,LT,automatic,California,24138.0,white,black,wheels exchange llc,19200.0
2013,Mazda,CX-9,Touring,automatic,California,44289.0,gray,black,avis rac/san leandro,20000.0
2013,Hyundai,Elantra,GLS,automatic,California,14288.0,silver,gray,hyundai motor finance,12100.0
2008,Nissan,Armada,LE,automatic,California,96738.0,black,black,wells fargo dealer services,12200.0
2010,Honda,Civic,DX-VP,automatic,California,94501.0,gray,gray,a l financial corporation,5000.0
