year,make,model,trim,transmission,state,odometer,color,interior,seller,selling_price
2008,BMW,Z4,3.0i,automatic,Georgia,28288.0,black,beige,mercedes benz of buckhead,18200.0
2014,Toyota,Camry,SE,automatic,Georgia,10274.0,blue,black,world omni financial corporation,16800.0
2006,UNKNOWN,UNKNOWN,UNKNOWN,automatic,Georgia,80591.0,white,black,santander consumer,11300.0
2009,Lincoln,MKZ,Base,automatic,Georgia,75288.0,blue,beige,jpmorgan chase bank n.a.,7600.0
2012,Dodge,Grand Caravan,American Value Package,automatic,Georgia,45196.0,white,black,santander consumer,10300.0
2013,Mercedes-Benz,GLK-Class,GLK350 4MATIC,automatic,Georgia,30790.0,gray,black,international auto group inc,28600.0
2012,Hyundai,Sonata Hybrid,Base,automatic,Georgia,34102.0,gray,gray,hyundai motor finance,13100.0
2008,Land Rover,Range Rover Sport,HSE,UNKNOWN,Georgia,104745.0,white,tan,flag/ald motors inc,16500.0
2011,BMW,3 Series,328i,automatic,Georgia,76574.0,black,black,financial services remarketing (lease),19600.0
2004,Saturn,VUE,Base,manual,Georgia,121844.0,black,gray,five star ford lincoln mercury,1850.0
2014,Nissan,Maxima,3.5 S,automatic,Georgia,1394.0,white,gray,nissan motor acceptance corporation,20200.0
2012,Mercedes-Benz,C-Class,C250 Sport,automatic,Georgia,21164.0,UNKNOWN,UNKNOWN,mercedes-benz financial services,18500.0
2014,Kia,Forte,LX,UNKNOWN,Georgia,20656.0,red,gray,kia motors america  inc,11800.0
2014,Chevrolet,Silverado 1500,LT,UNKNOWN,Georgia,29361.0,burgundy,black,onemain rem/lenn costner auto sales,25200.0
2013,Toyota,Avalon,Limited,automatic,Georgia,30067.0,gray,beige,toyota financial services,22200.0
2012,Nissan,Rogue,SV,automatic,Georgia,26534.0,gray,gray,nissan-infiniti lt,14400.0
2011,Honda,CR-V,EX,automatic,Georgia,22781.0,brown,—,ahfc/honda lease trust/hvt  inc. eot,16000.0
2006,Chevrolet,Equinox,LS,automatic,Georgia,112883.0,gray,gray,jpmorgan chase bank n.a.,3400.0
2011,Nissan,Maxima,3.5 SV,automatic,Georgia,82669.0,gray,black,jpmorgan chase bank n.a.,14000.0
2013,Toyota,Yaris,LE,automatic,Georgia,61899.0,gray,—,the hertz corporation,7900.0
2013,Dodge,Avenger,SE,automatic,Georgia,52825.0,gray,gray,avis corporation,9400.0
2014,Toyota,Camry,SE,UNKNOWN,Georgia,36155.0,silver,black,avis corporation,15000.0
2013,Ford,Focus,SE,automatic,Georgia,9163.0,blue,gray,stream llc dba stream remarketing solutions,11600.0
2012,Hyundai,Tucson,Limited,UNKNOWN,Georgia,35012.0,brown,burgundy,hyundai motor finance,18500.0
2012,Hyundai,Sonata Hybrid,Base,automatic,Georgia,11195.0,gray,gray,hyundai motor finance,15100.0
2013,Chevrolet,Express Cargo,2500,automatic,Georgia,59490.0,white,beige,economy rent a car & sales inc,16700.0
2014,Kia,Optima,LX,UNKNOWN,Georgia,11844.0,burgundy,beige,kia motors america  inc,15300.0
2008,Jeep,Grand Cherokee,Laredo,automatic,Georgia,98354.0,red,black,wells fargo dealer services,8100.0
2007,Chevrolet,Malibu,LS,automatic,Georgia,32457.0,white,beige,wells fargo dealer services,4500.0
2014,Ford,Focus,SE,automatic,Georgia,30077.0,black,black,ars/enterprise,12500.0
2014,Honda,Civic,LX,automatic,Georgia,14550.0,blue,gray,ahfc/honda lease trust/hvt  inc.,15100.0
2011,Chevrolet,Avalanche,LTZ,automatic,Georgia,49026.0,red,black,jeffs motorcars inc,28600.0
2007,GMC,Yukon,SLE,automatic,Georgia,163303.0,beige,beige,nalley infiniti decatur,9400.0
2013,Dodge,Dart,SXT,automatic,Georgia,36856.0,orange,black,wells fargo dealer services,11800.0
2011,Chevrolet,Silverado 1500,LS,automatic,Georgia,68103.0,black,black,young motors llc,17200.0
2013,Volkswagen,Jetta,SEL PZEV,automatic,Georgia,21939.0,—,beige,vw credit,15200.0
2011,Ford,Ranger,XL,automatic,Georgia,93239.0,white,—,sutton leasing inc,7800.0
2012,Dodge,Avenger,SE,automatic,Georgia,64022.0,white,black,the hertz corporation,8601.0
2003,Ford,F-150,XLT,UNKNOWN,Georgia,159116.0,black,gray,lexus of greenville,4800.0
