year,make,model,trim,transmission,state,odometer,color,interior,seller,selling_price
2013,Chevrolet,Cruze,2LT,automatic,Florida,40644.0,blue,black,santander consumer,11200.0
2013,Chevrolet,Camaro,LT,UNKNOWN,Florida,50843.0,black,black,tdaf remarketing,21000.0
2013,Toyota,Yaris,L,automatic,Florida,46841.0,red,gray,fox rent a car,9500.0
2006,Toyota,Highlander,Limited,automatic,Florida,128338.0,silver,gray,jpmorgan chase bank n.a.,6900.0
2013,Nissan,Altima,2.5,automatic,Florida,24005.0,brown,black,nissan-infiniti lt,14800.0
2012,Lexus,IS 250,Base,automatic,Florida,22378.0,gray,beige,lexus financial services,20400.0
2010,Audi,A4,2.0T Premium,automatic,Florida,52342.0,white,beige,tdaf remarketing,12000.0
2012,Toyota,Camry,LE,automatic,Florida,28047.0,silver,gray,world omni financial corporation,14200.0
2011,Infiniti,G Convertible,G37,automatic,Florida,60591.0,black,black,nissan infiniti lt,21800.0
2001,Honda,CR-V,LX,automatic,Florida,116701.0,silver,gray,parking co of america inc,1900.0
2012,BMW,3 Series,328i,automatic,Florida,13862.0,black,tan,lauderdale bmw of fort lauderdale,22000.0
2004,Toyota,Sienna,XLE 7-Passenger,automatic,Florida,164567.0,gray,gray,kuhn honda,4300.0
2009,Toyota,Venza,Base,automatic,Florida,52074.0,brown,beige,onesource/kendall toyota,14100.0
2011,Toyota,Corolla,LE,automatic,Florida,14646.0,silver,gray,world omni financial corporation,12800.0
2001,Dodge,Intrepid,SE,automatic,Florida,107429.0,silver,black,ed morse auto plaza,1400.0
2003,Toyota,Highlander,Base,UNKNOWN,Florida,170382.0,silver,gray,dab auto world & leasing,4600.0
2004,lexus,lx,470,automatic,Florida,167647.0,black,beige,firkins chrysler jeep dodge,13800.0
2012,Nissan,Maxima,3.5 SV,automatic,Florida,41623.0,white,beige,nissan-infiniti lt,18800.0
2014,Dodge,Charger,SE,automatic,Florida,15189.0,off-white,black,hertz corporation/gdp,16100.0
2013,Nissan,Altima,2.5,automatic,Florida,29700.0,black,black,nissan-infiniti lt,13200.0
2014,Nissan,Frontier,S,UNKNOWN,Florida,19808.0,silver,gray,regional acceptance corporation / greenville,17200.0
2006,Toyota,Corolla,LE,UNKNOWN,Florida,110597.0,beige,beige,nicholas financial inc/clearwater,4700.0
2013,Chevrolet,Silverado 1500,Work Truck,automatic,Florida,43480.0,blue,black,gm financial,15700.0
2011,Lexus,IS 250 C,Base,automatic,Florida,31450.0,silver,gray,lexus financial services,22600.0
2014,Toyota,Corolla,LE,automatic,Florida,18007.0,white,gray,onesource/earl stewart toyota,12500.0
2009,Ford,F-250 Super Duty,Lariat,automatic,Florida,209262.0,gold,beige,westlake financial services,10000.0
2007,GMC,Envoy,SLE,automatic,Florida,137967.0,gray,gray,ed morse cadillac,4300.0
